frame,x,y,visible
0,1255.25,971.23,1
1,1255.31,971.35,1
2,1255.31,971.35,1
3,1255.25,971.38,1
4,1255.30,971.43,1
5,1255.26,971.44,1
6,1255.26,971.38,1
7,1255.25,971.41,1
8,1255.18,971.49,1
9,1255.21,971.55,1
10,1255.12,971.15,1
11,1255.13,971.27,1
12,881.31,759.82,1
13,881.22,759.44,1
14,1255.17,970.85,1
15,1255.22,970.84,1
16,1255.15,970.83,1
17,1255.24,970.75,1
18,1255.30,970.76,1
19,1255.21,970.81,1
20,1255.21,970.60,1
21,1255.13,970.60,1
22,1255.25,970.57,1
23,1255.17,970.56,1
24,1255.21,970.72,1
25,1255.14,970.72,1
26,1255.26,970.60,1
27,1255.20,970.58,1
28,970.15,828.45,1
29,970.02,827.98,1
30,969.95,828.38,1
31,1254.99,970.76,1
32,1255.05,970.80,1
33,966.89,847.10,1
34,966.92,847.05,1
35,970.03,797.78,1
36,970.07,797.80,1
37,982.25,752.00,1
38,982.24,751.99,1
39,993.80,839.61,1
40,993.79,839.62,1
41,993.78,839.60,1
42,993.74,839.58,1
43,1000.13,848.52,1
44,1000.10,848.51,1
45,1010.44,841.64,1
46,1010.44,841.65,1
47,1255.07,971.06,1
48,1255.13,971.07,1
49,1254.98,970.97,1
50,1255.05,971.02,1
51,1254.96,970.98,1
52,1255.03,971.08,1
53,1254.97,971.02,1
54,1255.08,971.00,1
55,1255.01,970.96,1
56,1255.18,970.78,1
57,1255.01,970.76,1
58,994.82,823.53,1
59,994.78,823.54,1
60,1254.86,970.49,1
61,1254.87,970.49,1
62,986.74,818.12,1
63,986.72,818.14,1
64,986.73,818.12,1
65,986.93,816.34,1
66,982.89,815.87,1
67,977.22,812.08,1
68,968.56,808.09,1
69,954.55,803.00,1
70,954.51,802.98,1
71,1254.75,969.86,1
72,1254.76,969.86,1
73,1254.71,969.80,1
74,1254.67,969.73,1
75,1254.65,969.80,1
76,1254.62,969.88,1
77,1254.59,969.88,1
78,1254.62,969.74,1
79,886.33,767.20,1
80,883.99,765.27,1
81,1254.63,969.46,1
82,1254.62,969.42,1
83,1254.70,969.29,1
84,1254.63,970.30,1
85,1254.72,970.04,1
86,859.71,759.41,1
87,859.11,761.41,1
88,859.12,761.41,1
89,859.13,763.22,1
90,860.03,766.51,1
91,1254.87,970.58,1
92,884.83,774.83,1
93,886.89,777.98,1
94,886.82,777.99,1
95,886.10,776.10,1
96,871.06,777.59,1
97,853.54,780.67,1
98,842.47,784.13,1
99,841.25,788.06,1
100,841.27,788.08,1
101,841.32,787.37,1
102,841.29,787.44,1
103,840.84,786.32,1
104,840.72,786.93,1
105,841.02,786.53,1
106,840.93,786.67,1
107,841.07,786.82,1
108,1254.40,972.47,1
109,840.87,788.30,1
110,1254.35,972.29,1
111,840.38,794.23,1
112,840.37,794.24,1
113,840.35,792.15,1
114,840.44,792.42,1
115,868.89,447.05,1
116,846.28,444.24,1
117,1254.53,972.79,1
118,1254.54,972.80,1
119,842.20,775.99,1
120,842.36,776.01,1
121,841.78,775.59,1
122,841.76,775.58,1
123,845.41,770.17,1
124,845.40,770.22,1
125,652.33,470.10,1
126,652.36,470.09,1
127,635.09,468.93,1
128,635.09,468.92,1
129,616.23,464.97,1
130,616.24,464.96,1
131,601.40,461.48,1
132,601.41,461.51,1
133,601.24,460.93,1
134,601.27,460.93,1
135,583.62,468.09,1
136,583.63,468.08,1
137,899.27,787.15,1
138,899.27,787.12,1
139,914.81,784.79,1
140,914.80,784.77,1
141,930.48,780.66,1
142,942.97,777.60,1
143,943.01,777.62,1
144,942.93,777.59,1
145,942.90,777.59,1
146,1169.79,446.92,1
147,1169.81,446.89,1
148,373.17,469.23,1
149,373.23,469.27,1
150,334.60,460.81,1
151,334.52,460.81,1
152,291.96,468.35,1
153,292.00,468.36,1
154,257.47,471.28,1
155,257.41,471.30,1
156,257.32,471.26,1
157,257.32,471.27,1
158,224.39,476.67,1
159,224.35,476.69,1
160,188.65,477.74,1
161,188.66,477.76,1
162,1178.63,465.25,1
163,1178.60,465.26,1
164,1178.75,466.60,1
165,1178.78,466.57,1
166,1041.96,769.71,1
167,1041.93,769.68,1
168,1041.87,769.72,1
169,1056.03,765.84,1
170,1181.99,469.55,1
171,1182.79,470.14,1
172,1070.64,762.51,1
173,1073.37,761.89,1
174,1073.35,761.82,1
175,1073.75,761.50,1
176,1075.52,760.95,1
177,1078.39,761.27,1
